order_id,user_id,age,gender,city,product,category,quantity,price,payment_mode,order_status,rating,discount,order_month,delivery_days,total
10001,103,36,Female,Delhi,Watch,Accessories,3,32752,UPI,Delivered,2.0,19,Jul,6,79587.36
10002,436,32,Female,Lucknow,Watch,Accessories,2,26604,COD,Cancelled,3.0,11,Sep,5,47355.12
10003,271,45,Male,Bangalore,Tablet,Accessories,4,1051,COD,Cancelled,4.0,29,Jan,6,2984.8399999999997
10004,107,41,Male,Lucknow,Mobile,Electronics,4,66169,Card,Returned,3.0,9,May,4,240855.16
10005,72,25,Female,Pune,Watch,Electronics,2,7107,Card,Delivered,4.0,13,Apr,8,12366.18
10006,701,26,Male,Pune,Mobile,Accessories,1,43473,UPI,Cancelled,2.0,3,Oct,9,42168.81
10007,21,38,Female,Pune,Mobile,Electronics,3,30358,COD,Delivered,2.0,14,Feb,7,78323.64
10008,615,50,Male,Mumbai,Mobile,Electronics,4,39867,Card,Cancelled,3.0138855638017716,19,Jul,1,129169.08
10009,122,36,Male,Pune,Laptop,Accessories,1,60351,UPI,Delivered,5.0,8,Jul,5,55522.920000000006
10010,467,20,Male,Bangalore,Watch,Electronics,3,57036,UPI,Cancelled,3.0,6,Aug,7,160841.52
10011,215,27,Female,Mumbai,Mobile,Accessories,1,19070,UPI,Cancelled,5.0,6,Mar,5,17925.8
10012,331,57,Male,Mumbai,Laptop,Accessories,3,36438,Card,Returned,1.0,29,Jun,5,77612.94
10013,459,59,Female,Pune,Laptop,Accessories,3,52298,Card,Returned,1.0,19,Apr,5,127084.14000000001
10014,88,18,Female,Lucknow,Headphones,Electronics,1,60218,Card,Delivered,1.0,8,Dec,5,55400.560000000005
10015,373,46,Female,Delhi,Headphones,Accessories,3,55469,Card,Delivered,3.0138855638017716,23,Nov,5,128133.39
10016,100,51,Male,Lucknow,Watch,Accessories,4,46320,Card,Delivered,1.0,9,Mar,1,168604.80000000002
10017,664,30,Male,Lucknow,Headphones,Electronics,4,33718,COD,Delivered,1.0,19,Apr,6,109246.32
10018,131,38,Male,Mumbai,Watch,Accessories,1,10490,COD,Returned,3.0,12,Dec,6,9231.2
10019,662,51,Female,Mumbai,Laptop,Electronics,1,13278,COD,Delivered,5.0,5,Jan,8,12614.099999999999
10020,309,46,Female,Mumbai,Laptop,Electronics,3,40640,COD,Cancelled,5.0,3,Jul,5,118262.4
