order_id,user_id,age,gender,city,product,category,quantity,price,payment_mode,order_status,rating,discount,order_month,delivery_days
10001,103,36,Female,Delhi,Watch,Accessories,3,32752,UPI,Delivered,2,19,Jul,6
10002,436,32,Female,Lucknow,Watch,Accessories,2,26604,COD,Cancelled,3,11,Sep,5
10003,271,45,Male,Bangalore,Tablet,Accessories,4,1051,COD,Cancelled,4,29,Jan,6
10004,107,41,Male,Lucknow,Mobile,Electronics,4,66169,Card,Returned,3,9,May,4
10005,72,25,Female,Pune,Watch,Electronics,2,7107,Card,Delivered,4,13,Apr,8
10006,701,26,Male,Pune,Mobile,Accessories,1,43473,UPI,Cancelled,2,3,Oct,9
10007,21,,Female,Pune,Mobile,Electronics,3,30358,COD,Delivered,2,14,Feb,7
10008,615,50,Male,Mumbai,Mobile,Electronics,4,39867,Card,Cancelled,,19,Jul,1
10009,122,36,Male,Pune,Laptop,Accessories,1,60351,UPI,Delivered,5,8,Jul,5
10010,467,20,Male,Bangalore,Watch,Electronics,3,57036,UPI,Cancelled,3,6,Aug,7
10011,215,27,Female,Mumbai,Mobile,Accessories,1,19070,UPI,Cancelled,5,6,Mar,5
10012,331,57,Male,Mumbai,Laptop,Accessories,3,36438,Card,Returned,1,29,Jun,5
10013,459,59,Female,Pune,Laptop,Accessories,3,52298,Card,Returned,1,19,Apr,5
10014,88,18,Female,Lucknow,Headphones,Electronics,1,60218,Card,Delivered,1,8,Dec,5
10015,373,46,Female,Delhi,Headphones,Accessories,3,55469,Card,Delivered,,23,Nov,5
10016,100,51,Male,Lucknow,Watch,Accessories,4,46320,Card,Delivered,1,9,Mar,1
10017,664,30,Male,Lucknow,Headphones,Electronics,4,33718,COD,Delivered,1,19,Apr,6
10018,131,,Male,Mumbai,Watch,Accessories,1,10490,COD,Returned,3,12,Dec,6
10019,662,51,Female,Mumbai,Laptop,Electronics,1,13278,COD,Delivered,5,5,Jan,8
10020,309,46,Female,Mumbai,Laptop,Electronics,3,40640,COD,Cancelled,5,3,Jul,5
10021,770,30,Male,Bangalore,Watch,Accessories,3,52106,UPI,Cancelled,4,16,Jul,2
10022,344,46,Female,Bangalore,Headphones,Electronics,1,69844,UPI,Cancelled,1,20,Jul,7
10023,492,56,Male,Delhi,Headphones,Accessories,2,60371,COD,Returned,2,25,Feb,1
10024,414,,Male,Mumbai,Watch,Electronics,1,29440,Card,Delivered,4,13,Jan,5
10025,386,43,Male,Pune,Tablet,Electronics,2,30090,COD,Cancelled,4,26,Sep,5
10026,192,34,Male,Mumbai,Headphones,Electronics,2,52017,COD,Cancelled,3,2,Feb,3
10027,277,24,Female,Bangalore,Mobile,Electronics,1,67645,UPI,Returned,4,0,May,2
10028,161,30,Male,Mumbai,Headphones,Accessories,1,29797,Card,Returned,2,17,May,4
10029,460,22,Male,Bangalore,Tablet,Accessories,1,28366,UPI,Returned,5,1,Nov,7
10030,314,43,Male,Mumbai,Laptop,Electronics,2,34491,Card,Cancelled,4,7,Aug,3
10031,22,20,Male,Pune,Laptop,Accessories,4,2407,UPI,Returned,3,15,Jan,6
10032,253,24,Male,Delhi,Laptop,Accessories,4,26438,COD,Cancelled,1,3,Nov,7
10033,748,56,Male,Pune,Headphones,Accessories,1,6310,Card,Delivered,2,18,Jul,2
10034,561,18,Male,Bangalore,Laptop,Accessories,1,56100,UPI,Cancelled,1,19,Mar,3
10035,475,34,Female,Lucknow,Tablet,Accessories,3,59112,COD,Delivered,,9,Feb,9
10036,59,42,Female,Pune,Tablet,Accessories,3,38205,UPI,Cancelled,4,16,May,1
10037,511,20,Female,Mumbai,Headphones,Accessories,3,18115,UPI,Delivered,5,16,Apr,8
10038,682,32,Female,Delhi,Mobile,Electronics,1,66773,UPI,Cancelled,3,20,Sep,1
10039,476,46,Male,Mumbai,Headphones,Accessories,4,49203,COD,Cancelled,2,6,Nov,3
10040,700,49,Female,Mumbai,Laptop,Electronics,4,59625,Card,Cancelled,5,8,Jan,6
10041,783,43,Female,,Headphones,Electronics,1,50181,UPI,Cancelled,2,6,Nov,8
10042,190,33,Female,Delhi,Tablet,Electronics,1,33067,COD,Returned,3,26,Mar,7
10043,687,42,Male,Lucknow,Headphones,Accessories,2,4918,UPI,Cancelled,3,20,Mar,3
10044,563,45,Female,Mumbai,Headphones,Accessories,2,42664,Card,Cancelled,4,2,Apr,6
10045,567,26,Female,Delhi,Mobile,Electronics,4,2486,UPI,Returned,2,23,Jul,1
10046,244,18,Male,Lucknow,Tablet,Electronics,3,39093,COD,Returned,,11,May,8
10047,505,,Female,Mumbai,Watch,Accessories,4,34483,UPI,Returned,,22,Nov,9
10048,131,39,Male,Delhi,Watch,Accessories,2,32489,UPI,Returned,4,3,Oct,9
10049,485,33,Female,Pune,Tablet,Accessories,4,47387,Card,Returned,2,16,Jun,4
10050,647,58,Male,Mumbai,Watch,Electronics,2,23942,Card,Returned,2,28,Mar,4
10051,21,58,Female,,Laptop,Electronics,2,11743,Card,Returned,1,2,May,7
10052,167,24,Female,Delhi,Watch,Accessories,3,632,UPI,Returned,4,10,Dec,7
10053,274,31,Female,Mumbai,Laptop,Accessories,3,16056,COD,Returned,2,7,Nov,6
10054,388,46,Male,Lucknow,Tablet,Electronics,2,64897,UPI,Returned,2,1,Feb,7
10055,601,36,Female,Mumbai,Watch,Accessories,1,59940,UPI,Returned,3,24,Apr,1
10056,316,36,Male,Bangalore,Watch,Accessories,3,34355,UPI,Delivered,1,13,Dec,9
10057,14,19,Male,Lucknow,Laptop,Electronics,2,10339,UPI,Cancelled,,3,Mar,6
10058,242,58,Male,Delhi,Laptop,Electronics,1,59564,Card,Cancelled,,15,Mar,8
10059,777,32,Male,Lucknow,Headphones,Electronics,1,43720,Card,Returned,3,13,Dec,5
10060,346,20,Female,Bangalore,Mobile,Electronics,4,41578,Card,Returned,4,6,Apr,7
10061,565,28,Female,Bangalore,Watch,Accessories,4,66930,Card,Delivered,,9,Aug,3
10062,340,47,Female,Mumbai,Mobile,Electronics,3,1765,COD,Returned,4,11,Dec,1
10063,92,57,Male,Mumbai,Mobile,Accessories,1,23307,UPI,Delivered,2,22,Aug,7
10064,367,35,Female,,Watch,Accessories,3,50014,UPI,Cancelled,5,27,Jan,5
10065,455,19,Male,Lucknow,Laptop,Accessories,2,56816,UPI,Cancelled,3,7,Dec,1
10066,428,49,Male,,Headphones,Electronics,3,65317,COD,Returned,4,22,May,9
10067,509,25,Male,Bangalore,Tablet,Electronics,1,32729,COD,Delivered,2,10,Feb,9
10068,776,39,Female,Mumbai,Watch,Accessories,4,33248,Card,Delivered,2,19,Oct,6
10069,35,23,Female,Mumbai,Watch,Accessories,3,41773,UPI,Cancelled,3,12,Jun,9
10070,206,29,Male,Mumbai,Tablet,Electronics,4,55284,UPI,Cancelled,,11,Mar,7
10071,81,57,Female,Delhi,Mobile,Accessories,3,18590,COD,Delivered,2,6,Dec,8
10072,562,53,Female,Bangalore,Headphones,Accessories,2,13874,UPI,Delivered,1,20,Oct,2
10073,388,32,Male,Mumbai,Mobile,Accessories,1,46616,COD,Cancelled,,11,Oct,2
10074,2,45,Male,Bangalore,Tablet,Accessories,3,59633,Card,Delivered,5,9,Sep,4
10075,390,35,Female,Mumbai,Tablet,Accessories,2,68429,COD,Cancelled,3,6,Sep,1
10076,566,19,Male,Lucknow,Headphones,Accessories,2,57778,UPI,Delivered,3,18,Aug,8
10077,106,30,Male,Bangalore,Tablet,Accessories,2,36962,COD,Returned,3,25,Feb,5
10078,772,32,Female,Pune,Tablet,Accessories,4,60124,COD,Cancelled,2,26,Nov,7
10079,477,37,Female,Delhi,Headphones,Electronics,4,50641,Card,Delivered,2,6,Feb,2
